date,indicator,value
2025-01-01,CCSI,95.00369046007245
2025-01-01,KOSPI,2623.8996430006778
2025-01-01,USD_KRW,1344.5172428927556
2025-01-01,BASE_RATE,2.9109408161242727
2025-02-01,CCSI,93.63598764448483
2025-02-01,KOSPI,2520.668275600283
2025-02-01,USD_KRW,1351.2028720519488
2025-02-01,BASE_RATE,3.1340215245554535
2025-03-01,CCSI,93.52338044434602
2025-03-01,KOSPI,2550.3620080144046
2025-03-01,USD_KRW,1359.796841003704
2025-03-01,BASE_RATE,3.035688700816006
2025-04-01,CCSI,95.3162427469937
2025-04-01,KOSPI,2525.5625564233437
2025-04-01,USD_KRW,1349.4149635507345
2025-04-01,BASE_RATE,3.0695303194458288
2025-05-01,CCSI,90.96735635814476
2025-05-01,KOSPI,2563.3907391167827
2025-05-01,USD_KRW,1311.975545203983
2025-05-01,BASE_RATE,2.8710462260215026
2025-06-01,CCSI,89.4747948866248
2025-06-01,KOSPI,2581.1927095140254
2025-06-01,USD_KRW,1324.651070371126
2025-06-01,BASE_RATE,3.0271264358821703
